codigo_user,Género,Peso,Cintura,Pulso,Lagartijas,Sentadillas,Saltos
usuario1,M,86.64,91.44,50,5,162,60
usuario2,M,85.73,93.98,52,2,110,60
usuario3,M,87.54,96.52,58,12,101,101
usuario4,F,73.48,88.90,62,12,105,37
usuario5,M,85.73,88.90,46,13,155,58
usuario6,F,82.55,91.44,56,4,101,42
usuario7,M,95.71,96.52,56,8,101,38
usuario8,F,75.75,86.36,60,6,125,40
usuario9,F,79.83,78.74,74,15,200,40
usuario10,F,69.85,83.82,56,17,251,250
usuario11,M,76.66,86.36,50,17,120,38
usuario12,F,75.30,83.82,52,13,210,115
usuario13,F,69.85,86.36,64,14,215,105
usuario14,M,112.04,116.84,50,1,50,50
usuario15,F,87.54,91.44,46,6,70,31
usuario16,M,91.63,93.98,62,12,210,120
usuario17,F,79.83,93.98,54,4,60,25
usuario18,M,71.21,81.28,52,11,230,80
usuario19,F,70.76,83.82,54,15,225,73
usuario20,F,62.60,83.82,68,2,110,43
